RaceID,Year,Driver,Team,QualiPos,RacePos
QatarGrandPrix2021,2021,norris,mclaren,6,9
QatarGrandPrix2021,2021,sainz,ferrari,7,7
QatarGrandPrix2021,2021,tsunoda,alphatauri,8,13
QatarGrandPrix2021,2021,ocon,alpine,9,5
QatarGrandPrix2021,2021,vettel,aston_martin,10,10
QatarGrandPrix2021,2021,perez,red_bull,11,4
QatarGrandPrix2021,2021,stroll,aston_martin,12,6
QatarGrandPrix2021,2021,leclerc,ferrari,13,8
QatarGrandPrix2021,2021,ricciardo,mclaren,14,12
QatarGrandPrix2021,2021,russell,williams,15,17
QatarGrandPrix2021,2021,raikkonen,alfa,16,14
QatarGrandPrix2021,2021,latifi,williams,17,19
QatarGrandPrix2021,2021,giovinazzi,alfa,18,15
QatarGrandPrix2021,2021,mick_schumacher,haas,19,16
QatarGrandPrix2021,2021,mazepin,haas,20,18
SaudiArabianGrandPrix2021,2021,hamilton,mercedes,1,1
SaudiArabianGrandPrix2021,2021,bottas,mercedes,2,3
SaudiArabianGrandPrix2021,2021,max_verstappen,red_bull,3,2
SaudiArabianGrandPrix2021,2021,leclerc,ferrari,4,7
SaudiArabianGrandPrix2021,2021,perez,red_bull,5,17
SaudiArabianGrandPrix2021,2021,gasly,alphatauri,6,6
SaudiArabianGrandPrix2021,2021,norris,mclaren,7,10
SaudiArabianGrandPrix2021,2021,tsunoda,alphatauri,8,14
SaudiArabianGrandPrix2021,2021,ocon,alpine,9,4
SaudiArabianGrandPrix2021,2021,giovinazzi,alfa,10,9
SaudiArabianGrandPrix2021,2021,ricciardo,mclaren,11,5
SaudiArabianGrandPrix2021,2021,raikkonen,alfa,12,15
SaudiArabianGrandPrix2021,2021,alonso,alpine,13,13
SaudiArabianGrandPrix2021,2021,russell,williams,14,19
SaudiArabianGrandPrix2021,2021,sainz,ferrari,15,8
SaudiArabianGrandPrix2021,2021,latifi,williams,16,12
SaudiArabianGrandPrix2021,2021,vettel,aston_martin,17,16
SaudiArabianGrandPrix2021,2021,stroll,aston_martin,18,11
SaudiArabianGrandPrix2021,2021,mick_schumacher,haas,19,20
SaudiArabianGrandPrix2021,2021,mazepin,haas,20,18
AbuDhabiGrandPrix2021,2021,max_verstappen,red_bull,1,1
AbuDhabiGrandPrix2021,2021,hamilton,mercedes,2,2
AbuDhabiGrandPrix2021,2021,norris,mclaren,3,7
AbuDhabiGrandPrix2021,2021,perez,red_bull,4,15
AbuDhabiGrandPrix2021,2021,sainz,ferrari,5,3
AbuDhabiGrandPrix2021,2021,bottas,mercedes,6,6
AbuDhabiGrandPrix2021,2021,leclerc,ferrari,7,10
AbuDhabiGrandPrix2021,2021,tsunoda,alphatauri,8,4
AbuDhabiGrandPrix2021,2021,ocon,alpine,9,9
AbuDhabiGrandPrix2021,2021,ricciardo,mclaren,10,12
AbuDhabiGrandPrix2021,2021,alonso,alpine,11,8
AbuDhabiGrandPrix2021,2021,gasly,alphatauri,12,5
AbuDhabiGrandPrix2021,2021,stroll,aston_martin,13,13
AbuDhabiGrandPrix2021,2021,giovinazzi,alfa,14,17
AbuDhabiGrandPrix2021,2021,vettel,aston_martin,15,11
AbuDhabiGrandPrix2021,2021,latifi,williams,16,16
